word	sense_i	sense_j	sim	sense_i_cluster	sense_j_cluster
ant	bn:00004458n	1	0.026722	emmet,formicidae,worker,profile,pismire,ants,formica,fire,heraldry,insect,scheme,anatomy,🐜,family,trail	wasp,gilled,procyonidae,dasyurid,fossorial,lepidopteran,lizard,jawless,leafhoppers,beetle,insect,cervidae,agamidae,mantises,mustelidae
apache	bn:01932513n	1	0.137395	server,software,web,http,apache http server,apache web server,httpd,apache httpd,webserver,apache webserver,apache server,apache2,free,stronghold,www	mysql,software,net,postgresql,application,php,plugin,ajax,api,mozilla,web,framework,gcj,activex,gtk
apache	bn:00004824n	2	0.095343	tribe,apachean,native,american,apache tribe,indians,ˀa˙paču,apache indians,people,apaches,united,apacheans,state,group,mexico	chiricahua,mescalero,lipan,kiowa,jicarilla,ute,shoshone,paiute,hoopa,pecos,mohave,jemez,yavapai,gila,zuni
apollo	bn:03278962n	2	0.114504	spacecraft,apollo spacecraft,diagram,module,command,modulo,cm,service,program,lunar,sm,american,control,manned,modul	skylab,gemini,module,orbiter,manned,shuttle,payload,lander,mission,orbital,iss,spacelab,sts,mir,atlantis
apollo	bn:00168779n	2	0.018732	crater,d.,moon,brown,d. brown,impact,ramon,mccool,chawla,husband,apollo crater,clark,m.,anderson,far	skylab,gemini,module,orbiter,manned,shuttle,payload,lander,mission,orbital,iss,spacelab,sts,mir,atlantis
apple	bn:03739345n	1	0.071899	image,computer,macintosh,company,inc.,inc,store,imac,ibook,incorporated,g4,power,computers,g3,state	macintosh,hardware,pc,microsoft,ibm,pcs,dos,emulator,computers,beos,pocketpc,symbian,macs,workstation,prodos
apple	bn:00005054n	5	0.052020	malus,tree,apples,green,fruit,pomiculture,blossom,apple blossom,red,peel,domestica,apple-blossom,apple-blossoms,epli,apple-tree	pie,tree,fish,tomato,cake,coconut,armpit,whiskey,bucket,sandwich,watermelon,spray,tortoise,pond,custard
apple	bn:00005076n	5	0.067310	tree,malus,apple tree,domestica,cross,section,red,plant,appleoutput,bear,pommes,eve,jabłko,mcintosh,genu	pie,tree,fish,tomato,cake,coconut,armpit,whiskey,bucket,sandwich,watermelon,spray,tortoise,pond,custard
apple	bn:00005055n	5	0.054400	malus,tree,pumila,malus pumila,section,red,domestica,cross,plant,appleoutput,orchard apple tree,pommes,eve,jabłko,mcintosh	pie,tree,fish,tomato,cake,coconut,armpit,whiskey,bucket,sandwich,watermelon,spray,tortoise,pond,custard
bass	bn:14498794n	3	0.064624	instrument,bass instrument,low,slap-back,sound,section,range,musical,produce,contrabass,tenor,play,describe,tone,middle	flute,saxophones,glockenspiel,harp,vibraphone,tenor,acoustic,guitars,accordion,organ,banjo,tuba,ukulele,woodwinds,contrabass
bass	bn:00008917n	3	0.120358	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	flute,saxophones,glockenspiel,harp,vibraphone,tenor,acoustic,guitars,accordion,organ,banjo,tuba,ukulele,woodwinds,contrabass
bass	bn:00008917n	5	0.103093	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	guitar,basslines,keyboard,drum,vibrato,percussive,fretless,percussion,fretted,riffs,overdriven,amplified,synths,treble,drone
bass	bn:00008917n	4	0.076271	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	keyboard,harmonica,rhythm,percussionist,renbourn,mandolinist,session,sax,guitarist,lead,keyboardist,bandmember,pete,backing,vibraphonist
bass	bn:00008917n	1	0.075607	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	guitar,percussion,guitars,fiddle,rhythm,sax,harmonica,violin,piano,tenor,saxophone,trombone,trumpet,bassist,mandolin
brother	bn:00011357n	3	0.048712	family,sibling,blood brother,blood,sister,male,joshua,half,washington,someone,arnold,reynolds,prince,døtrene,dorothea	uncle,cousin,wife,grandfather,spouse,francis,william,succeeded,paternal,humphrey,youngest,sister,augustus,robert,marriage
brother	bn:00011357n	4	0.039339	family,sibling,blood brother,blood,sister,male,joshua,half,washington,someone,arnold,reynolds,prince,døtrene,dorothea	cousin,father,sister,mentor,son,wife,partner,uncle,childhood,friend,girlfriend,schoolmate,cousins,colleague,penny
brother	bn:16050919n	3	0.040673	person,another,parent,male,joshua,family,panamanian,domestic,biology,son,ii,sibling,prairie,wilber,reynolds	uncle,cousin,wife,grandfather,spouse,francis,william,succeeded,paternal,humphrey,youngest,sister,augustus,robert,marriage
brother	bn:16050919n	4	0.031233	person,another,parent,male,joshua,family,panamanian,domestic,biology,son,ii,sibling,prairie,wilber,reynolds	cousin,father,sister,mentor,son,wife,partner,uncle,childhood,friend,girlfriend,schoolmate,cousins,colleague,penny
capital	bn:02313486n	2	0.061333	ecclesiastical,region,religion,ecclesiastical capital,place,religious,pre,adherent,consider,within,eminent,particular,capital religion	city,region,province,zamboanga,chipata,daanbantayan,malaga,maseru,administrative,luya,quito,lima,piura,antsiranana,pirkanmaa
capital	bn:00015498n	2	0.066430	city,government,seat,capital city,country,provincial,de,state,parliament,town,capital cities,provincial capital,designate,capitals,large	city,region,province,zamboanga,chipata,daanbantayan,malaga,maseru,administrative,luya,quito,lima,piura,antsiranana,pirkanmaa
capital	bn:00015496n	3	0.064893	working,financial,working capital,real,good,financial capital,business,real capital,money,economics,use,service,asset,production,finance	venture,aig,brokerage,equity,stock,equities,recapitalization,nonperforming,underwriting,debt,etf,lending,leveraged,bonds,securitization
capital	bn:00056922n	2	0.054134	city,national capital,national,de,provincial,state,parliament,town,country,capital cities,provincial capital,government,capitals,large,forward capital	city,region,province,zamboanga,chipata,daanbantayan,malaga,maseru,administrative,luya,quito,lima,piura,antsiranana,pirkanmaa
cassandra	bn:00674523n	1	0.008150	complex,syndrome,metaphor,cassandra complex,cassandra syndrome,cassandras,cassandra disease,disease,psychology,cassandra metaphor,phenomenon,cassandra phenomenon,disbelieve,warning,cassandra's	aphrodite,wanda,lilith,lyta,kyle,maia,batman,merlin,kara,circe,powerless,grayven,diana,cassie,victor
cassandra	bn:03802333n	3	0.022362	game,video,character,alexandra,cassandra alexandra,soul,fictional,series,warrior,woman,people,introduce,cassandra soul calibur,female,fantasy	pamela,stepmother,mildred,charlotte,doris,anne,iris,elizabeth,marries,joan,betsy,dora,stepsister,stepdaughter,adele
citizen	bn:00789336n	4	0.108935	newspaper,chicago,lerner,news-star,life,newspapers,lerner newspapers,company,booster,skyline,voice,chain,weekly,group,illinois	news,enterprise,spectator,citizens,gazette,propublica,insider,columnist,reporter,financial,editor,ledger,wired,globe,mpls
citizen	bn:15489147n	2	0.163803	member,state,right,citizenship,government,law,owe,recognize,allegiance,naturalized,society,migration,dual,politics,native	agency,person,resident,institution,citizenship,citizens,naturalisation,entitlement,employer,reasonable,member,persons,residency,applicant,employee
cloud	bn:00020001n	1	0.085480	mass,smoke,dust,e.g.,particle,resemble,gas,collection,visible,steam	clouds,dust,plume,noctilucent,atmosphere,meteoroids,convective,masses,accretion,accreting,cores,interstellar,debris,regolith,magma
